# Format: user_id;start;end
1;27943;71098
1;71144;92870
1;194244;199459
2;39525;82681
2;82726;125926
2;125926;148590
2;213800;213827
3;6197;6246
3;34743;34810
3;34909;78072
3;78110;115089
3;120465;134525
3;178079;206976
4;30659;73846
4;73860;117003
4;117062;129477
4;140294;143646
4;198285;214564
5;29361;72535
5;72562;115721
5;115762;158944
5;158963;194167
6;29172;29979
6;31429;74551
6;74631;97899
6;200393;200929
7;1657;3895
7;23512;23673
7;26542;32877
7;36201;53602
7;189322;189674
7;193297;236408
7;236498;266843
8;36739;79832
8;79940;103998
8;104459;136585
8;144117;187316
8;187318;205322
8;292158;293879
9;13753;31899
9;42099;85177
9;85300;128438
9;128500;171577
9;171700;214802
9;214900;257971
9;258100;266763
10;39494;50910
10;53329;61130
10;90926;110035
10;172626;205141
11;23711;59941
11;88171;122551
11;174661;200393
12;31090;46216
12;48576;48602
12;48875;91997
12;92077;135165
12;135277;163985
13;26771;69947
13;69973;71638
14;24105;24732
14;24825;55635
14;86860;86951
14;93023;125702
14;179498;200461
15;2545;6039
15;9035;9095
15;9656;11480
15;12003;13914
15;26649;26718
15;26887;70082
15;70088;86959
15;89355;132482
15;153779;196975
15;196980;240107
15;240180;274550
16;28988;72151
16;72189;101807
16;102254;102273
17;29175;29235
17;40895;84048
17;84097;96895
17;194474;209035
18;521;43634
18;43725;86872
18;86926;109727
18;109841;141545
19;33924;51925
19;95411;95427
19;95485;131486
20;16816;23843
20;27723;28241
20;36577;36731
20;99694;99698
20;115501;115581
21;7683;50774
21;50884;63418
21;63847;63859
21;64583;64594
22;8712;10554
22;11026;11052
22;11589;41143
22;46770;46772
22;46997;46999
22;47663;47666
22;48237;48287
22;50872;52124
22;61491;90727
22;90970;92123
22;106182;106220
22;106307;136967
22;143364;146012
22;180512;194259
22;194463;237635
22;237664;270906
23;30083;49387
23;115897;115924
24;10970;17131
24;17171;17529
24;23729;29660
24;34149;46903
24;118082;118363
24;118566;161661
24;161768;181801
25;2805;4830
25;10370;13335
25;33227;37099
25;183922;208633
26;10649;11662
26;22719;22888
26;22952;38310
27;17333;27350
27;89370;132568
27;132572;175698
27;175773;181855
28;17516;23793
28;23858;66992
28;67059;110256
28;110259;114818
28;120382;163539
28;163583;203067
29;3246;25431
29;28981;33160
29;100549;100777
29;190151;206925
30;103795;114650
31;46816;53613
31;84016;96963
32;53353;90406
32;90530;96203
32;96240;120927
32;121027;133028
32;179799;185726
32;194615;207329
32;269317;271164
33;4133;12168
33;12390;15296
33;53210;96317
33;96411;104120
33;116984;135703
33;192161;196370
33;209973;253139
33;253175;270206
34;2021;7252
34;8536;28559
34;41022;84219
34;84223;121096
34;181134;190501
34;191151;203327
35;29059;36271
35;52946;53525
35;91132;91159
36;2849;3993
36;4380;9964
36;10008;22253
36;86760;124497
36;124870;124887
36;127004;131635
36;151007;156508
36;184295;186000
37;7669;29784
37;29864;29880
38;2519;7647
38;97039;97046
38;97270;140468
38;140472;183670
38;183671;196878
39;23096;48076
39;66663;109860
39;109864;153026
39;153066;158095
39;159779;202941
39;202981;246174
39;246183;263124
40;4358;5601
40;52273;53094
40;97484;111334
41;4868;17026
42;5405;31034
42;31199;49962
42;88799;131954
42;132001;158654
42;178368;178395
43;16389;52070
43;53369;96637
43;96639;129407
43;192746;195748
44;4535;47661
44;47736;90813
44;90936;134130
44;134136;176139
45;1852;22618
45;92379;93875
45;94308;134694
45;181553;191422
45;192074;203681
46;3491;13529
46;199134;208283
47;3245;33300
47;36819;80010
47;80020;83383
47;89643;110466
47;111309;123251
47;130245;131926
47;139733;146478
47;147397;154092
47;162952;186014
47;186408;209692
47;212511;212539
47;215958;228240
47;265960;266019
48;9431;10198
48;11581;22116
48;24216;25700
48;27466;29266
48;31755;31915
48;31982;35073
48;96361;101781
48;118764;161871
48;161966;199209
48;199499;199584
49;3020;46219
49;46222;89288
49;114081;157181
49;157282;200476
49;200483;209147
50;7074;10319
50;111754;113139
50;113761;113775
50;123443;123458
50;131799;174936
51;3518;36901
51;105634;119380
51;190870;191026
51;198044;204587
51;204681;208143
52;9397;10327
52;11046;30185
52;30640;31505
53;97653;116814
54;34538;77632
54;97604;108453
55;31893;37935
55;95855;111540
55;111688;133338
55;137230;137283
55;178854;179404
55;179822;188839
55;189978;225882
55;277254;279051
55;284361;289025
55;289193;289401
56;37607;53234
56;53307;68111
56;68869;68922
56;69293;69463
56;69541;108098
56;108265;119143
56;120119;137671
56;141834;141901
56;183819;202147
56;214180;249841
56;257591;257662
56;277261;320457
57;18934;62085
57;62135;105331
57;105335;134914
57;180113;187914
59;36266;38067
59;53933;97129
59;97135;140331
59;140336;148668
60;6861;41460
60;96748;139859
60;139949;143889
60;194492;237681
60;237694;267184
61;232;582
61;680;1954
61;1991;45154
61;45192;69142
61;98039;141211
61;141241;147178
61;175398;218590
61;218600;227302
61;260921;269924
62;34301;39271
63;42686;50221
63;94883;101656
63;116372;159570
63;159574;197021
64;3289;46399
64;46490;60698
64;86232;96905
64;97050;113288
64;122608;165758
64;165809;177602
64;177712;203162
64;203324;215877
65;99025;142222
65;142227;144362
65;181753;182026
65;186149;206604
66;9534;23701
66;26545;33036
66;94221;114666
66;118122;138957
66;183690;208955
67;3720;46807
67;46922;90103
67;90122;133212
67;133322;176453
67;176522;219698
67;219722;262864
67;262922;265972
68;4366;4662
68;4780;47889
68;47981;91119
68;91181;134365
68;134381;149774
69;8970;48572
69;190134;193959
69;194056;208080
70;15204;58334
70;58405;101550
70;101605;134975
71;17106;41082
71;43256;54584
71;100533;143695
71;143734;186875
71;186934;204881
71;205002;207374
72;1361;10468
72;13487;56651
72;56688;99815
72;99888;142976
72;143088;186212
72;186289;229413
72;229489;268142
73;96380;99462
74;182;2148
74;2199;2798
74;3356;8663
74;8840;9134
74;10644;11820
74;12581;21753
74;21778;29500
74;29549;45834
74;46975;48002
74;48107;48562
74;92019;114012
74;114159;114610
74;114735;115045
74;117605;137024
74;137187;138288
74;182443;201026
74;201131;244304
74;244331;276583
74;290012;320703
75;2191;8885
75;90868;131497
75;177139;220287
75;220347;263434
75;263549;306715
75;306754;349937
76;2748;13134
76;13206;35687
76;42793;43130
76;95269;98849
76;99548;115372
76;115705;130995
76;182943;207453
