# Format: user_id;user_id
1;22
2;50
2;55
2;56
2;59
3;32
3;61
4;12
4;43
6;35
6;60
7;13
7;20
7;21
7;35
7;39
7;55
8;56
9;18
9;20
9;39
9;44
9;51
9;63
9;66
9;70
9;75
9;76
10;1
10;22
10;69
11;14
12;20
12;48
12;51
12;61
13;7
13;20
13;21
13;31
13;34
13;39
13;49
13;50
13;54
13;57
13;61
13;63
13;74
13;75
13;76
14;11
14;60
15;39
15;46
15;49
16;17
17;56
18;9
18;25
18;39
18;51
18;61
18;75
20;7
20;9
20;12
20;13
20;31
20;34
20;39
20;44
20;48
20;63
20;76
21;7
21;13
21;39
21;49
21;54
22;1
22;69
23;27
25;18
25;31
25;48
25;51
25;61
25;75
26;45
27;23
28;24
29;24
29;34
31;13
31;20
31;25
31;39
31;51
31;61
31;71
31;75
31;76
32;33
33;32
34;13
34;20
34;45
34;49
34;50
34;55
34;59
35;6
35;7
35;36
35;37
35;60
36;63
36;66
38;61
38;76
39;7
39;9
39;13
39;18
39;20
39;21
39;31
39;44
39;48
39;49
39;57
39;63
39;70
39;75
39;76
40;59
43;9
43;71
44;9
44;20
44;39
44;46
44;61
44;70
44;76
46;44
46;47
47;46
47;66
48;12
48;20
48;25
48;39
48;51
48;61
48;76
49;13
49;21
49;34
49;39
50;2
50;13
50;34
50;56
50;59
50;60
50;64
50;74
51;9
51;12
51;18
51;25
51;31
51;48
51;61
51;76
52;15
52;29
52;33
52;65
54;13
54;21
54;34
54;55
54;56
54;59
54;74
55;2
55;7
55;34
55;54
55;56
55;59
55;63
55;74
56;2
56;50
56;54
56;55
56;59
56;74
57;13
57;39
58;75
59;34
59;40
59;64
60;6
60;35
61;12
61;13
61;18
61;25
61;31
61;38
61;44
61;48
61;51
61;70
61;75
61;76
63;9
63;13
63;20
63;36
63;39
63;55
63;75
64;50
64;59
65;66
66;9
66;36
66;47
66;65
67;72
69;22
69;72
70;9
70;39
70;44
70;61
70;75
71;9
71;31
71;43
72;67
74;13
74;50
74;54
74;55
74;56
74;59
74;76
75;9
75;13
75;18
75;25
75;31
75;39
75;61
75;63
75;70
75;76
76;9
76;13
76;20
76;31
76;39
76;44
76;48
76;51
76;61
76;74
76;75
