# Format: user_id;group_id
1;1
1;2
1;3
1;4
2;1
2;2
2;3
2;5
2;6
2;7
2;8
2;9
2;10
2;11
2;12
2;13
2;14
2;15
2;16
2;17
2;18
2;19
2;20
3;1
3;2
3;3
4;1
4;2
4;3
5;1
5;2
5;3
6;1
6;2
6;3
7;1
7;2
7;3
8;1
8;2
8;3
9;1
9;2
9;3
9;21
9;22
9;23
9;24
9;25
9;26
9;27
9;28
9;29
9;30
9;31
9;32
9;33
9;34
9;35
9;36
9;16
9;37
9;38
9;39
9;40
9;41
9;42
9;43
9;44
9;45
10;1
10;2
10;3
11;1
11;2
11;3
11;16
11;46
11;41
12;1
12;2
12;3
12;47
12;48
12;49
13;1
13;2
13;3
13;21
13;50
13;51
13;23
13;52
13;53
13;54
13;55
13;56
13;57
13;48
13;16
13;58
13;59
13;41
13;60
14;1
14;2
14;3
14;61
14;62
14;63
14;64
14;41
15;1
15;2
15;3
16;1
16;2
16;3
17;1
17;2
17;3
18;1
18;2
18;3
18;21
18;65
18;66
18;41
19;1
19;2
19;3
20;1
20;2
20;3
20;21
20;67
20;68
20;69
20;16
20;41
21;1
21;2
21;3
22;1
22;2
22;3
22;41
23;1
23;2
23;3
23;21
23;70
23;71
23;72
23;73
23;74
23;75
23;76
23;77
23;78
23;79
23;80
23;81
23;16
23;41
23;82
23;83
24;1
24;2
24;3
24;21
24;84
24;85
24;86
24;87
24;88
24;89
24;90
24;91
24;92
24;93
24;94
24;95
24;96
24;97
24;98
24;99
24;100
24;41
24;101
24;102
25;1
25;2
25;3
25;103
25;21
25;104
25;105
25;106
25;107
25;47
25;108
25;109
25;110
25;41
25;111
25;112
25;113
25;45
26;1
26;2
26;3
27;1
27;2
27;3
27;114
27;115
27;116
27;117
27;118
27;78
27;79
27;119
27;120
27;121
27;16
27;122
27;123
27;82
27;124
27;83
28;1
28;2
28;3
29;1
29;2
29;3
30;1
30;2
30;3
31;1
31;2
31;3
31;21
31;51
31;16
31;41
31;125
32;1
32;2
32;3
33;1
33;2
33;3
34;1
34;2
34;3
34;126
34;127
34;128
34;129
34;21
34;50
34;130
34;131
34;132
34;133
34;134
34;135
34;136
34;137
34;138
34;139
34;140
34;141
34;142
34;143
34;144
34;145
34;23
34;146
34;147
34;148
34;149
34;150
34;151
34;152
34;153
34;154
34;155
34;156
34;157
34;158
34;159
34;160
34;75
34;161
34;162
34;163
34;164
34;165
34;166
34;167
34;168
34;169
34;170
34;171
34;172
34;173
34;174
34;175
34;176
34;177
34;178
34;179
34;180
34;181
34;182
34;183
34;184
34;185
34;186
34;187
34;188
34;189
34;190
34;191
34;192
34;193
34;194
34;195
34;196
34;197
34;198
34;199
34;200
34;201
34;202
34;203
34;204
34;205
34;206
34;207
34;208
34;209
34;210
34;211
34;212
34;213
34;214
34;215
34;216
34;217
34;48
34;218
34;219
34;16
34;220
34;221
34;222
34;223
34;224
34;225
34;226
34;227
34;228
34;229
34;230
34;231
34;232
34;233
34;234
34;235
34;236
34;237
34;238
34;239
34;240
34;241
34;242
34;243
34;244
34;245
34;246
34;247
34;248
34;249
34;250
34;251
34;252
34;253
34;254
34;255
34;256
34;257
34;258
34;259
34;260
34;261
34;41
34;262
34;263
34;264
34;265
34;266
34;267
35;1
35;2
35;3
35;268
35;269
35;270
35;271
35;272
35;273
35;274
35;275
35;276
35;277
35;278
35;279
35;280
35;281
35;282
35;283
35;284
35;285
35;286
35;287
35;288
35;289
35;290
35;291
35;292
35;293
35;294
35;295
35;296
35;297
35;298
35;299
35;41
35;300
35;301
35;302
36;1
36;2
36;3
36;21
36;303
36;304
36;305
36;306
37;1
37;2
37;3
38;1
38;2
38;3
38;307
38;21
38;308
38;309
38;310
38;311
38;312
38;313
38;314
38;315
38;41
38;316
39;1
39;2
39;3
39;21
39;317
39;23
39;318
39;319
39;320
39;321
39;322
39;323
39;324
39;325
39;56
39;326
39;34
39;327
39;48
39;16
39;328
39;329
39;41
39;60
39;330
40;1
40;2
40;3
40;331
40;332
40;75
40;333
40;334
40;335
40;41
40;336
40;337
41;1
41;2
41;3
42;1
42;2
42;3
43;1
43;2
43;3
44;1
44;2
44;3
44;338
44;339
45;340
46;1
46;2
46;3
46;341
46;342
46;343
46;344
46;345
46;346
46;347
46;348
46;349
46;75
46;350
46;351
46;352
46;353
46;354
46;355
46;356
46;357
46;358
46;359
46;360
46;361
46;362
46;363
46;364
46;365
46;366
46;367
46;368
46;369
47;1
47;2
47;3
47;21
47;370
47;371
47;350
47;372
48;1
48;2
48;3
48;373
48;374
48;375
48;376
48;377
48;378
48;379
48;380
48;381
48;382
48;383
48;47
48;384
48;385
48;386
48;387
48;388
48;389
48;390
48;391
48;392
48;393
48;48
48;16
48;394
48;395
48;396
48;49
48;397
48;398
48;399
48;400
48;401
48;402
48;44
48;111
49;1
49;2
49;3
49;403
49;404
49;53
49;405
49;406
49;407
49;408
49;409
49;56
49;326
49;410
49;411
49;412
49;413
49;414
49;415
49;416
49;417
49;418
49;41
49;419
49;60
49;420
49;421
49;267
50;1
50;2
50;3
50;21
50;422
50;423
50;41
50;267
51;1
51;2
51;3
51;424
51;47
51;425
51;426
51;427
51;49
51;41
51;428
52;1
52;2
52;3
52;93
53;1
53;2
53;3
54;1
54;2
54;3
54;21
54;50
54;429
54;430
54;75
54;431
54;432
54;433
54;30
54;78
54;434
54;193
54;435
54;436
54;437
55;1
55;2
55;3
55;30
55;438
56;1
56;2
56;3
56;51
56;41
57;1
57;2
57;3
57;439
57;440
57;441
57;442
57;443
57;444
57;445
57;446
57;447
57;448
57;449
57;450
57;451
57;452
57;453
57;454
57;455
57;456
57;457
57;458
57;459
57;460
57;461
57;462
57;75
57;463
57;464
57;465
57;466
57;467
57;53
57;468
57;469
57;470
57;471
57;472
57;473
57;474
57;475
57;476
57;477
57;478
57;479
57;480
57;481
57;482
57;483
57;484
57;485
57;486
57;487
57;488
57;489
57;490
57;491
57;492
57;325
57;493
57;494
57;495
57;496
57;497
57;498
57;499
57;500
57;501
57;502
57;503
57;504
57;505
57;506
57;507
57;508
57;509
57;510
57;511
57;512
57;513
57;41
57;514
57;515
57;516
57;517
57;60
58;1
58;2
58;3
59;1
59;2
59;3
59;78
59;518
59;519
59;265
59;520
59;521
60;1
60;2
60;3
60;522
60;523
60;524
60;525
60;526
60;527
60;528
60;529
60;530
60;286
60;531
60;532
60;533
60;534
60;535
60;536
60;537
60;538
60;301
60;539
60;302
61;1
61;2
61;3
61;21
61;540
61;541
61;542
61;543
61;544
61;545
61;546
61;547
61;548
61;106
61;549
61;550
61;551
61;47
61;552
61;553
61;554
61;193
61;16
61;37
61;555
61;556
61;41
61;557
61;558
61;559
61;560
61;44
61;111
62;1
62;2
62;3
62;41
63;1
63;2
63;3
63;22
63;23
63;561
63;562
63;563
63;564
63;565
63;566
63;567
63;568
63;569
63;30
63;570
63;571
63;31
63;572
63;16
63;573
63;37
63;40
63;41
63;43
63;45
64;1
64;2
64;3
64;574
64;575
64;576
64;577
64;578
64;579
64;580
64;581
64;582
64;583
64;584
64;585
64;586
64;587
64;588
64;589
64;590
64;591
64;592
64;593
64;594
64;595
64;596
64;597
64;598
64;599
64;600
64;601
64;602
64;603
64;604
64;605
64;606
64;607
64;608
64;609
64;610
64;611
64;612
64;613
64;614
64;615
64;616
64;617
64;618
64;619
64;620
64;621
64;622
64;623
64;624
64;519
64;625
64;626
64;627
64;628
64;629
64;630
64;631
64;632
64;633
64;634
64;635
64;636
64;637
64;638
64;639
64;640
64;641
64;642
64;643
64;644
64;645
64;646
64;647
64;648
64;649
64;650
64;41
64;651
64;652
64;420
64;520
64;521
65;1
65;2
65;3
65;21
65;653
65;654
65;655
65;656
65;657
65;41
65;658
65;659
66;1
66;2
66;3
66;21
66;660
66;661
66;662
66;663
66;664
66;41
66;658
66;665
66;666
67;1
67;2
67;3
67;667
67;668
67;669
67;670
67;75
67;671
67;672
67;673
67;674
67;675
67;676
67;677
67;678
67;679
67;680
67;681
67;666
68;1
68;2
68;3
69;1
69;2
69;3
70;1
70;2
70;3
70;682
70;683
70;684
70;685
70;686
70;687
70;688
71;1
71;2
71;3
71;689
72;1
72;2
72;3
73;1
73;2
73;3
73;21
73;690
73;691
73;692
73;693
73;694
73;41
74;1
74;2
74;3
74;21
74;695
74;51
74;696
74;697
74;698
74;75
74;699
74;700
74;701
74;30
74;702
74;703
74;435
74;704
74;705
74;41
74;267
75;1
75;2
75;3
75;21
75;435
75;41
75;267
76;1
76;2
76;3
76;21
76;51
76;706
76;378
76;30
76;707
76;708
76;68
76;709
76;435
76;16
76;710
76;711
