# Format: user_id;key;value
1;insitute;38
1;city;16
1;country;5
2;insitute;11
2;city;3
2;country;15
3;insitute;5
3;city;6
3;country;5
4;insitute;18
4;city;17
4;country;14
5;insitute;33
5;city;32
5;country;15
6;insitute;33
6;city;32
6;country;15
7;insitute;21
7;city;31
7;country;5
8;insitute;28
8;city;27
8;country;4
9;insitute;2
9;city;7
9;country;15
10;insitute;38
10;city;16
10;country;5
11;insitute;23
11;city;25
11;country;15
12;insitute;27
12;city;24
12;country;5
13;insitute;29
13;city;9
13;country;14
14;insitute;19
14;city;14
14;country;2
15;insitute;10
15;city;18
15;country;12
16;insitute;40
16;city;11
16;country;15
17;insitute;8
17;city;22
17;country;4
18;insitute;20
18;city;10
18;country;15
19;insitute;42
19;city;29
19;country;7
20;insitute;18
20;city;17
20;country;14
21;insitute;29
21;city;9
21;country;14
22;insitute;38
22;city;16
22;country;5
23;insitute;40
23;city;11
23;country;15
24;insitute;16
24;city;20
24;country;10
25;insitute;1
25;city;7
25;country;15
26;insitute;44
26;city;36
26;country;9
27;insitute;40
27;city;11
27;country;15
28;insitute;24
28;city;13
28;country;3
29;insitute;28
29;city;27
29;country;4
30;insitute;17
30;city;15
30;country;13
31;insitute;13
31;city;35
31;country;8
32;insitute;5
32;city;6
32;country;5
33;insitute;5
33;city;6
33;country;5
34;insitute;43
34;city;34
34;country;14
35;insitute;33
35;city;32
35;country;15
36;insitute;32
36;city;30
36;country;15
37;insitute;36
37;city;4
37;country;11
38;insitute;6
38;city;26
38;country;15
39;insitute;29
39;city;9
39;country;14
40;insitute;31
40;city;21
40;country;15
41;insitute;30
41;city;27
41;country;4
42;insitute;26
42;city;1
42;country;5
43;insitute;41
43;city;2
43;country;15
44;insitute;15
44;city;5
44;country;15
45;insitute;43
45;city;34
45;country;14
46;insitute;34
46;city;4
46;country;11
47;insitute;34
47;city;4
47;country;11
48;insitute;39
48;city;19
48;country;15
49;insitute;35
49;city;27
49;country;4
50;insitute;35
50;city;27
50;country;4
51;insitute;4
51;city;25
51;country;15
52;insitute;3
52;city;8
52;country;5
53;insitute;14
53;city;33
53;country;4
54;insitute;45
54;city;38
54;country;1
55;insitute;30
55;city;27
55;country;4
56;insitute;30
56;city;27
56;country;4
57;insitute;29
57;city;9
57;country;14
58;insitute;5
58;city;6
58;country;5
59;insitute;30
59;city;27
59;country;4
60;insitute;33
60;city;32
60;country;15
61;insitute;24
61;city;13
61;country;3
62;insitute;36
62;city;4
62;country;11
63;insitute;2
63;city;7
63;country;15
64;insitute;9
64;city;27
64;country;4
65;insitute;12
65;city;23
65;country;6
66;insitute;25
66;city;12
66;country;15
67;insitute;37
67;city;4
67;country;11
68;insitute;5
68;city;6
68;country;5
69;insitute;38
69;city;16
69;country;5
70;insitute;22
70;city;37
70;country;15
71;insitute;7
71;city;28
71;country;15
72;insitute;37
72;city;4
72;country;11
74;insitute;30
74;city;27
74;country;4
75;insitute;30
75;city;27
75;country;4
76;insitute;30
76;city;27
76;country;4
